score,hyperparameters,iteration
0.9101791975308642,"{'boosting_type': 'gbdt', 'num_leaves': 60, 'learning_rate': 0.01665300171812294, 'min_child_samples': 20, 'reg_alpha': 0.6326530612244897, 'reg_lambda': 0.9795918367346939, 'subsample': 0.7878787878787878, 'colsample_bytree': 0.9111111111111111, 'is_unbalance': False, 'n_estimators': 1999}",0
0.9116079783950617,"{'boosting_type': 'gbdt', 'num_leaves': 70, 'learning_rate': 0.049884888211816, 'min_child_samples': 20, 'reg_alpha': 0.4897959183673469, 'reg_lambda': 0.5510204081632653, 'subsample': 0.8888888888888888, 'colsample_bytree': 0.6, 'is_unbalance': False, 'n_estimators': 1477}",1
0.9083645524691357,"{'boosting_type': 'goss', 'num_leaves': 110, 'learning_rate': 0.0813169752024096, 'min_child_samples': 20, 'reg_alpha': 0.4081632653061224, 'reg_lambda': 0.02040816326530612, 'subsample': 1.0, 'colsample_bytree': 0.6, 'is_unbalance': True, 'n_estimators': 594}",2
0.8915590509259259,"{'boosting_type': 'goss', 'num_leaves': 100, 'learning_rate': 0.4841233059651561, 'min_child_samples': 40, 'reg_alpha': 0.9387755102040816, 'reg_lambda': 0.02040816326530612, 'subsample': 1.0, 'colsample_bytree': 0.7333333333333333, 'is_unbalance': False, 'n_estimators': 9}",3
0.9108641666666667,"{'boosting_type': 'goss', 'num_leaves': 110, 'learning_rate': 0.025449350967598396, 'min_child_samples': 20, 'reg_alpha': 0.8775510204081632, 'reg_lambda': 0.2857142857142857, 'subsample': 1.0, 'colsample_bytree': 0.9111111111111111, 'is_unbalance': False, 'n_estimators': 1828}",4
0.9025797222222222,"{'boosting_type': 'gbdt', 'num_leaves': 170, 'learning_rate': 0.259827862191383, 'min_child_samples': 60, 'reg_alpha': 0.836734693877551, 'reg_lambda': 0.12244897959183673, 'subsample': 0.6161616161616161, 'colsample_bytree': 0.7777777777777778, 'is_unbalance': True, 'n_estimators': 48}",5
0.9145464351851853,"{'boosting_type': 'dart', 'num_leaves': 140, 'learning_rate': 0.342614579764203, 'min_child_samples': 60, 'reg_alpha': 0.9183673469387754, 'reg_lambda': 0.6530612244897959, 'subsample': 0.7727272727272727, 'colsample_bytree': 0.9555555555555555, 'is_unbalance': True, 'n_estimators': 2000}",6
0.9081860648148148,"{'boosting_type': 'goss', 'num_leaves': 130, 'learning_rate': 0.07983130110507129, 'min_child_samples': 40, 'reg_alpha': 0.6530612244897959, 'reg_lambda': 0.5102040816326531, 'subsample': 1.0, 'colsample_bytree': 0.6, 'is_unbalance': False, 'n_estimators': 305}",7
0.9114430092592594,"{'boosting_type': 'gbdt', 'num_leaves': 160, 'learning_rate': 0.03530358857068886, 'min_child_samples': 60, 'reg_alpha': 0.22448979591836732, 'reg_lambda': 0.4693877551020408, 'subsample': 0.8535353535353536, 'colsample_bytree': 0.8222222222222222, 'is_unbalance': True, 'n_estimators': 1350}",8
0.9000048919753085,"{'boosting_type': 'goss', 'num_leaves': 70, 'learning_rate': 0.19704508202017246, 'min_child_samples': 20, 'reg_alpha': 0.673469387755102, 'reg_lambda': 0.5102040816326531, 'subsample': 1.0, 'colsample_bytree': 0.9111111111111111, 'is_unbalance': True, 'n_estimators': 63}",9
0.9096076543209876,"{'boosting_type': 'goss', 'num_leaves': 50, 'learning_rate': 0.02135996983153389, 'min_child_samples': 60, 'reg_alpha': 0.7959183673469387, 'reg_lambda': 0.7551020408163265, 'subsample': 1.0, 'colsample_bytree': 0.8666666666666667, 'is_unbalance': True, 'n_estimators': 1999}",10
0.9095056172839506,"{'boosting_type': 'gbdt', 'num_leaves': 110, 'learning_rate': 0.005284379855924019, 'min_child_samples': 20, 'reg_alpha': 0.6938775510204082, 'reg_lambda': 0.7142857142857142, 'subsample': 0.6464646464646464, 'colsample_bytree': 0.8666666666666667, 'is_unbalance': False, 'n_estimators': 2000}",11
0.9136240432098767,"{'boosting_type': 'dart', 'num_leaves': 150, 'learning_rate': 0.043642633119241894, 'min_child_samples': 40, 'reg_alpha': 0.8571428571428571, 'reg_lambda': 0.7142857142857142, 'subsample': 0.8888888888888888, 'colsample_bytree': 0.6, 'is_unbalance': False, 'n_estimators': 2000}",12
